#HashTags,User,Location,Devices,Tweet,Favourites,Followers count,isVerifiedUser,Retweet Count
['oscar'],vittoriatom,wonderland,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @renjunfemboy: mommy? #oscar https://t.co/KTsDRSRLpF,40544,269,FALSE,0
['Oscar'],coalandcanary,"Winnipeg, Canada","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @Reuters: For the 20th year, marketing firm Distinctive Assets is independently presenting the top acting and directing #Oscar nominees…",3191,1150,FALSE,0
[],gaIacticaa,old page - @vvs_her,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",She kills the carpet every single time 😩,54223,412,FALSE,0
['Oscar'],elleashryver,𝙷𝚘𝚞𝚜𝚎 𝚘𝚏 𝚆𝚒𝚗𝚍,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @safefortimmy: timothée chalamet being an icon as he damn should #Oscar https://t.co/dncKXGkZe8,30196,434,FALSE,0
['Oscar'],TheCarti3,call me if you get lost,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @ttboomstans: andrew garfield talking about jonathan larson one last time #Oscar 

https://t.co/512VIfJ3ef",5266,131,FALSE,0
[],SportsNewsReals,Click Here:,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","The 94th Oscars Award 2022 Live Stream For Free

Live Now:: https://t.co/jfALlKfzPc

Watch Live Stream Free 94th Ac… https://t.co/fuv5WqRmKv",86,30,FALSE,0
['Oscar'],Noquedancines,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",The queen of basketball mejor corto documental #Oscar https://t.co/JuOAa0WjJg,3292,1629,FALSE,0
['Oscar'],JamilCedenoC,Dior Secret Garden ,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @VVFriedman: I am get seriously fairy tale vibes from this #Oscar red carpet so far: Jessica Chastain in Gucci, Alana Haim in Louis Vuit…",18817,2920,FALSE,0
['Oscar'],BirdRunningH2O,"Los Angeles, California, USA","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @TheJonnyR: @BirdRunningH2O at the #Oscar https://t.co/QhiCWz5AlY,11463,5330,FALSE,0
['Oscar'],dannyricgf,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @safefortimmy: he served #Oscar https://t.co/8KCTefK7I5,14432,12,FALSE,0
